infa;infb;infc;infd;infe;inff;infg;infg;infi;infj;infk;infl;infm;infn;info;infp;infq;infr;infs;inft;infu;infv;infw;infx;infy;infz;data1;data2;data3;data4
20240130;103001853;INDNEGOCIO;7;15;20231015;3;0;REG;;263.97;73.02;0;0;13.14;0;0;19.59;0;0;263.97;73.02;0;0;13.14;0;0;19.59;20231110;20231110
20240130;103001853;INDNEGOCIO;7;16;20231115;2;361.68;REG;;264.6;72.48;0;0;0;0;0;24.6;72.48;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;17;20231215;2;359.63;REG;;270.81;67.22;0;0;0;0;0;21.6;67.22;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;18;20240115;2;361.99;REG;;277.09;66.4;0;0;0;0;0;18.5;66.4;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;19;20240215;1;360.49;REG;;280.23;63.26;0;0;0;0;0;17;30.52;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;20;20240315;0;360.49;REG;;287.31;56.18;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;21;20240415;0;360.49;REG;;286.67;56.82;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;22;20240515;0;360.49;REG;;291.66;51.83;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;23;20240615;0;360.49;REG;;293.24;50.25;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;24;20240715;0;360.49;REG;;298.09;45.4;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;25;20240815;0;360.49;REG;;299.95;43.54;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;26;20240915;0;360.49;REG;;303.35;40.14;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;27;20241015;0;360.49;REG;;307.98;35.51;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;28;20241115;0;360.49;REG;;310.29;33.2;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;29;20241215;0;360.49;REG;;314.77;28.72;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;30;20250115;0;360.49;REG;;317.38;26.11;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;31;20250215;0;360.49;REG;;320.98;22.51;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;32;20250315;0;360.49;REG;;326.46;17.03;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;33;20250415;0;360.49;REG;;328.33;15.16;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;34;20250515;0;360.49;REG;;332.42;11.07;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;35;20250615;0;360.49;REG;;335.82;7.67;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001853;INDNEGOCIO;7;36;20250715;0;360.54;REG;;339.81;3.73;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;19000101;
20240130;103002278;CREDIND;7;1;20230313;2;341.06;REG;;323.21;11.14;0;0;0;0;0;6.71;11.14;0;0;0;0;0;0;0;0;0;19000101;
20240130;103002278;CREDIND;7;2;20230412;2;342.53;REG;;334.72;1.39;0;0;0;0;0;6.42;1.39;0;0;0;0;0;0;0;0;0;19000101;
20240130;103002278;CREDIND;7;3;20230512;2;342.28;REG;;335.05;1.11;0;0;0;0;0;6.12;1.11;0;0;0;0;0;0;0;0;0;19000101;
20240130;103002278;CREDIND;7;4;20230612;2;342.02;REG;;335.35;0.86;0;0;0;0;0;5.81;0.86;0;0;0;0;0;0;0;0;0;19000101;
20240130;103002278;CREDIND;7;5;20230712;2;341.77;REG;;335.7;0.56;0;0;0;0;0;5.51;0.56;0;0;0;0;0;0;0;0;0;19000101;
20240130;103002278;CREDIND;7;6;20230812;2;341.46;REG;;335.97;0.29;0;0;0;0;0;5.2;0.29;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001869;CREDIND;7;1;20220819;3;0;REG;;454.33;107.52;0;0;19.35;0;0;13.5;0;0;454.33;107.52;0;0;19.35;0;0;13.5;20220806;20220806
20240130;103001869;CREDIND;7;2;20220806;2;889.04;REG;;483.14;0;0;0;0;0;0;457.94;0;0;0;0;0;0;0;0;0;52.04;19000101;20220922
20240130;103001869;CREDIND;7;3;20220906;2;889.39;REG;;483.49;83.1;0;0;14.96;0;0;432.52;0;0;0;83.1;0;0;14.96;0;0;26.62;19000101;20220922
20240130;103001869;CREDIND;7;4;20221006;2;934.86;REG;;516.39;55.22;0;0;9.94;0;0;431.97;0;0;0;55.22;0;0;9.94;0;0;13.5;19000101;20220922
20240130;103001869;CREDIND;7;5;20221107;2;1002.69;REG;;545.79;30.32;0;0;0;0;0;426.58;30.32;0;0;0;0;0;0;0;0;0;19000101;
20240130;102008844;INDNEGOCIO;7;1;20230408;2;763.17;REG;;0;759.67;0;0;0;0;0;3.5;759.67;0;0;0;0;0;0;0;0;0;19000101;
20240130;102008844;INDNEGOCIO;7;2;20230508;2;733.45;REG;;461.65;102.55;0;0;0;0;0;169.25;102.55;0;0;0;0;0;0;0;0;0;19000101;
20240130;102008844;INDNEGOCIO;7;3;20230608;2;718.97;REG;;477.74;86.46;0;0;0;0;0;154.77;86.46;0;0;0;0;0;0;0;0;0;19000101;
20240130;102008844;INDNEGOCIO;7;4;20230708;2;705.99;REG;;500.18;64.02;0;0;0;0;0;141.79;64.02;0;0;0;0;0;0;0;0;0;19000101;
20240130;102008844;INDNEGOCIO;7;5;20230808;2;690.37;REG;;519.22;44.98;0;0;0;0;0;126.17;44.98;0;0;0;0;0;0;0;0;0;19000101;
20240130;102008844;INDNEGOCIO;7;6;20230908;2;672.81;REG;;541.21;22.96;0;0;0;0;0;108.64;22.96;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001871;CREDIND;7;1;20220526;3;0;REG;;362.29;246.95;0;0;44.45;0;0;71.9;0;0;362.29;246.95;0;0;44.45;0;0;71.9;20220824;20220824
20240130;103001871;CREDIND;7;2;20220621;3;0;REG;;381.49;230.68;0;0;41.52;0;0;58.06;0;0;381.49;230.68;0;0;41.52;0;0;58.06;20220824;20220824
20240130;103001871;CREDIND;7;3;20220721;3;0;REG;;361.93;247.25;0;0;44.51;0;0;37.74;0;0;361.93;247.25;0;0;44.51;0;0;37.74;20220824;20220824
20240130;103001871;CREDIND;7;4;20220822;3;0;REG;;365.68;244.08;0;0;43.93;0;0;18.24;0;0;365.68;244.08;0;0;43.93;0;0;18.24;20220824;20220824
20240130;103001871;CREDIND;7;5;20220921;3;0;REG;;254.97;209.42;0;0;37.7;0;0;17.69;0;0;254.97;209.42;0;0;37.7;0;0;17.69;19000101;20220922
20240130;103001871;CREDIND;7;6;20220922;3;0;REG;;0;188.29;0;0;33.89;0;0;17;0;0;0;188.29;0;0;33.89;0;0;17;19000101;20220922
20240130;103001871;CREDIND;7;7;20221121;2;719.93;REG;;174.25;402.53;0;0;0;0;0;143.15;402.53;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001871;CREDIND;7;8;20221221;2;924.16;REG;;428.45;187.11;0;0;0;0;0;308.6;187.11;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001871;CREDIND;7;9;20230121;2;919.79;REG;;448.07;170.48;0;0;0;0;0;301.24;170.48;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001871;CREDIND;7;10;20230221;2;917.72;REG;;476.5;146.39;0;0;0;0;0;294.83;146.39;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001871;CREDIND;7;11;20230321;2;923.95;REG;;520.86;108.8;0;0;0;0;0;294.29;108.8;0;0;0;0;0;0;0;0;0;19000101;
